Active Status,Item,Description,Price,Cost,Manufacturer
Not-active,ADEMCO:VISTA-250BPE,Partitioned Commercial Burglary Alarm Control Panel,620.8,388,ADEMCO
Active,ADEMCO:VISTA-250FBPT,Commercial Partitioned Fire and Burglary Alarm Control Panel,1015.98,440,ADEMCO
Active,ADEMCO:VISTA-GSM4G,Plug-in GM Module for VISTA-21iP,259.2,129,ADEMCO
Active,ADEMCO:VISTA-ULKT,Heavy-Duty Steel Enclosure for Vista Security Systems,99.18,61.99,ADEMCO
Active,ADEMCO:VISTA128FBPTCFKF,Commercial Partitioned Fire and Burglary Alarm Control Panel Kit.,1254.99,783.99,ADEMCO
Active,ADI LOCK EXPRESS,,0,0,ADI
Active,ADI LOCK EXPRESS:M56AF,Motor Assembly Kit.,853.38,448.99,ADI
Active,AIPHONE,,0,0,AIRPHONE
Active,AIPHONE:IX-DA,IP Audio/Video Door Station for IX Series.,887.95,655.99,AIPHONE
Active,AIPHONE:IX-MV,"IP Addressable Video Master Station w/ 3.5"" Color LCD Monitor.",1219.99,975.99,AIPHONE
Active,ALARM CONTROLS CORPORATION,,0,0,ALARM CONTROLS
Active,ALARM CONTROLS CORPORATION:1200S,Maglock with 1200lb Holding Force.,279.99,138.99,ALARM CONTROLS CORPORATION
Active,ALARM CONTROLS CORPORATION:600LB MAGLOCK,Maglock with 600lbs Holding Force.,229.99,114.99,ALARM CONTROLS CORPORATION
Active,ALTRONIX,DO NOT USE,0,0,ALTRONIX
Active,ALTRONIX:ALSD2,Siren Driver  6/12VDC .3A-1.22A,17.72,8.5,ALTRONIX
Active,ALTRONIX:ALTV248175UL,8-Channel 24VAC 7AMP Power Supply,199,108.99,ALTRONIX
Active,ALTRONIX:ALTV248300ULM,8x Fused Output 10A Power Supply,259,129.99,ALTRONIX
Active,ALTRONIX:RAC24,"Relay, Base Module, 24VAC",29,14.5,ALTRONIX
Active,ALTRONIX:RB1224,Relay Module 12 / 24 VDC,20,8.99,ALTRONIX
Active,ALTRONIX:RB5,Relay Module 6 - 12 VDC,18.4,8.99,ALTRONIX
Active,ALTRONIX:T2428100,28 Volt A/C 100Va Wire-In Transformer,68.75,27.5,ALTRONIX
Active,ALTRONIX:TP1640,Plug-in Xfmr 16.5VAC @ 2.4A,19,14.5,ALTRONIX
Active,ALTRONIX:TP1650,Plug-in Xfmr 16.5VAC @ 3A,21,11,ALTRONIX
Active,AMAZON,DO NOT USE,0,0,AMAZON
Active,AMAZON:AUDIO EXTRACTOR,"Premium quality HDMI to HDMI + Audio (SPD/F + RCA Stereo), audio extractor with Ultra HD 4K supp...",47.78,35.99,J-TECH DIGITAL
Active,AMAZON:ECHO DOT (BLACK),"Echo Dot, Black",49.99,47.49,AMAZON
